panel,x,sorted,random,maxwellian
a_density,-3.975000,7.330961767e-06,0.0001587011313,0.0001478590603
a_density,-3.925000,1.466192353e-05,0.00018311669,0.0001801445393
a_density,-3.875000,7.330961767e-06,0.0002172984721,0.0002189316378
a_density,-3.825000,4.887307845e-06,0.0002881035923,0.0002654056804
a_density,-3.775000,4.887307845e-06,0.000275895813,0.0003209417122
a_density,-3.725000,9.77461569e-06,0.0003589087124,0.0003871296016
a_density,-3.675000,9.77461569e-06,0.0005249345114,0.0004658014753
a_density,-3.625000,7.330961767e-06,0.0004785449499,0.0005590615222
a_density,-3.575000,0,0.0006714278634,0.0006693181615
a_density,-3.525000,9.77461569e-06,0.0007715316539,0.0007993185281
a_density,-3.475000,7.330961767e-06,0.0008814016679,0.0009521851725
a_density,-3.425000,9.77461569e-06,0.00116950526,0.001131454808
a_density,-3.375000,2.443653922e-06,0.0013111155,0.001341118873
a_density,-3.325000,4.887307845e-06,0.001587011313,0.001585665584
a_density,-3.275000,9.77461569e-06,0.001916621355,0.001870123078
a_density,-3.225000,4.887307845e-06,0.002194958724,0.00220010315
a_density,-3.175000,9.77461569e-06,0.002663737451,0.002581844964
a_density,-3.125000,9.77461569e-06,0.002954282599,0.003022258035
a_density,-3.075000,4.887307845e-06,0.003547580674,0.003528963655
a_density,-3.025000,2.443653922e-06,0.003950437393,0.004110333817
a_density,-2.975000,7.330961767e-06,0.004770800164,0.004775526577
a_density,-2.925000,7.330961767e-06,0.00546420203,0.005534516703
a_density,-2.875000,4.887307845e-06,0.006352928365,0.006398120311
a_density,-2.825000,9.77461569e-06,0.007441862282,0.007378012149
a_density,-2.775000,2.443653922e-06,0.00847708197,0.008486734062
a_density,-2.725000,9.77461569e-06,0.00942196409,0.009737693141
a_density,-2.675000,9.77461569e-06,0.01133858545,0.01114514799
a_density,-2.625000,0,0.01270097362,0.0127241816
a_density,-2.575000,1.466192353e-05,0.01440517961,0.01449065916
a_density,-2.525000,9.77461569e-06,0.01637063209,0.01646116953
a_density,-2.475000,7.330961767e-06,0.01876823995,0.01865294879
a_density,-2.425000,4.887307845e-06,0.02110480891,0.02108378467
a_density,-2.375000,7.330961767e-06,0.02353904011,0.02377190083
a_density,-2.325000,1.710557746e-05,0.02657389405,0.02673582017
a_density,-2.275000,1.710557746e-05,0.03023134474,0.02999420648
a_density,-2.225000,9.77461569e-06,0.03380578253,0.03356568434
a_density,-2.175000,1.221826961e-05,0.03754380456,0.03746863735
a_density,-2.125000,7.330961767e-06,0.04153574841,0.04172098526
a_density,-2.075000,4.887307845e-06,0.04686566486,0.046339941
a_density,-2.025000,9.77461569e-06,0.05097236183,0.0513417492
a_density,-1.975000,9.77461569e-06,0.05675640768,0.0567414081
a_density,-1.925000,4.887307845e-06,0.0626747391,0.0625523775
a_density,-1.875000,9.77461569e-06,0.06968688755,0.06878627583
a_density,-1.825000,7.330961767e-06,0.07576636166,0.07545256991
a_density,-1.775000,9.77461569e-06,0.0830885877,0.08255826164
a_density,-1.725000,7.330961767e-06,0.09057683955,0.09010757603
a_density,-1.675000,2.443653922e-06,0.0978380267,0.09810165586
a_density,-1.625000,9.77461569e-06,0.1062296542,0.1065382681
a_density,-1.575000,2.443653922e-06,0.1160520335,0.1154115281
