quantity,value,se,fragility_class,kind,n,digits_shown,digits_from_se,seed_a,seed_b,note,generator_sha16
A_w2_m2,1.00000000000000e+00,1.34e-16,B,mean,8,15,16,21,22,block width 2,0a086e2f472aa2d4
A_w2_m4,5e+02,4.13e+01,B,mean,8,1,2,21,22,block width 2,0a086e2f472aa2d4
A_w2_m6,2e+05,2.50e+04,B,mean,8,1,2,21,22,block width 2,0a086e2f472aa2d4
A_w2_tail,3e-02,2.03e-03,B,mean,8,1,2,21,22,block width 2,0a086e2f472aa2d4
A_w2_CoverCbar,3.0e+00,2.26e-02,B,mean,12,2,3,21,22,"per-draw ratio, averaged",0a086e2f472aa2d4
A_w32_m2,9.9999999999999989e-01,7.71e-17,B,mean,8,17,17,21,22,block width 32,0a086e2f472aa2d4
A_w32_m4,6e+01,6.00e+00,B,mean,8,1,2,21,22,block width 32,0a086e2f472aa2d4
A_w32_m6,3e+03,9.55e+02,B,mean,8,1,2,21,22,block width 32,0a086e2f472aa2d4
A_w32_tail,3e-01,7.01e-03,B,mean,8,1,3,21,22,block width 32,0a086e2f472aa2d4
A_w32_CoverCbar,3.0e+00,3.04e-02,B,mean,12,2,3,21,22,"per-draw ratio, averaged",0a086e2f472aa2d4
A_w512_m2,1.00000000000000e+00,7.99e-17,B,mean,8,15,18,21,22,block width 512,0a086e2f472aa2d4
A_w512_m4,4e+00,9.71e-02,B,mean,8,1,3,21,22,block width 512,0a086e2f472aa2d4
A_w512_m6,2e+01,1.15e+00,B,mean,8,1,2,21,22,block width 512,0a086e2f472aa2d4
A_w512_tail,2e+00,2.06e-02,B,mean,8,1,3,21,22,block width 512,0a086e2f472aa2d4
A_w512_CoverCbar,2.3e+00,1.90e-02,B,mean,12,2,3,21,22,"per-draw ratio, averaged",0a086e2f472aa2d4
A_w2048_m2,1.00000000000000000e+00,7.42e-17,B,mean,8,18,18,21,22,block width 2048,0a086e2f472aa2d4
A_w2048_m4,1e+00,1.31e-02,B,mean,8,1,3,21,22,block width 2048,0a086e2f472aa2d4
A_w2048_m6,1e+00,3.93e-02,B,mean,8,1,2,21,22,block width 2048,0a086e2f472aa2d4
A_w2048_tail,1.0e+00,2.05e-02,B,mean,8,2,3,21,22,block width 2048,0a086e2f472aa2d4
A_w2048_CoverCbar,1e+00,1.87e-02,B,mean,12,1,2,21,22,"per-draw ratio, averaged",0a086e2f472aa2d4
B_Np2048_hilbert,2.71274e+00,0.00e+00,A,exact,1,6,6,21,22,deterministic on a single registered load,0a086e2f472aa2d4
C_Np2048_cell_global,9e-01,1.53e-02,B,mean,12,1,2,21,22,global null,0a086e2f472aa2d4
C_Np2048_cell_within,1e+00,1.63e-02,B,mean,12,1,2,21,22,within-cell null,0a086e2f472aa2d4
B_Np8192_hilbert,2.83409e+00,0.00e+00,A,exact,1,6,6,21,22,deterministic on a single registered load,0a086e2f472aa2d4
C_Np8192_cell_global,1e+00,9.32e-03,B,mean,12,1,3,21,22,global null,0a086e2f472aa2d4
C_Np8192_cell_within,1e+00,9.47e-03,B,mean,12,1,4,21,22,within-cell null,0a086e2f472aa2d4
