matching,C,one_step_EQ
"(1,2)|(3,4)|(5,6)",4.47184699231,14.0835284178
"(1,2)|(3,5)|(4,6)",3.83835241345,13.1332865495
"(1,2)|(3,6)|(4,5)",3.50132409899,12.6277440779
"(1,3)|(2,4)|(5,6)",4.0433088476,13.4407212008
"(1,3)|(2,5)|(4,6)",3.28531235126,12.3037264562
"(1,3)|(2,6)|(4,5)",2.81856310759,11.6036025907
"(1,4)|(2,3)|(5,6)",3.8843056867,13.2022164594
"(1,4)|(2,5)|(3,6)",1.51142908123,9.64290155121
"(1,4)|(2,6)|(3,5)",1.38170815202,9.44832015739
"(1,5)|(2,3)|(4,6)",3.05167588588,11.9532717582
"(1,5)|(2,4)|(3,6)",1.43679577676,9.5309515945
"(1,5)|(2,6)|(3,4)",1.18257293006,9.14961732445
"(1,6)|(2,3)|(4,5)",2.50716477475,11.1365050915
"(1,6)|(2,4)|(3,5)",1.22931298008,9.21972739948
"(1,6)|(2,5)|(3,4)",1.1048110626,9.03297452325
Cbar,2.61656560942,11.3006063435
Q,9.83434390581,
